word,pinyin,definition
成果,cheng2 guo3,result/achievement/gain/profit/CL:個|个[ge4]
加以,jia1 yi3,"in addition/moreover/(used before a disyllabic verb to indicate that the action of the verb is applied to sth or sb previously mentioned)/to apply (restrictions etc) to (sb)/to give (support, consideration etc) to (sth)"
加工,jia1 gong1,to process/processing/working (of machinery)
加重,jia1 zhong4,"to make heavier/to emphasize/(of an illness etc) to become more serious/to aggravate (a bad situation)/to increase (a burden, punishment etc)"
加上,jia1 shang4,plus/to put in/to add/to add on/to add into/in addition/on top of that
西方,Xi1 fang1,the West/the Occident/Western countries
西部,xi1 bu4,western part
上个月,shang4 ge4 yue4,last month
下个月,xia4 ge4 yue4,next month
对话,dui4 hua4,to talk (with sb)/dialogue; conversation
无话可说,wu2 hua4 ke3 shuo1,to have nothing to say (idiom)
说实话,shuo1 shi2 hua4,to speak the truth/truth to tell/frankly
的话,de5 hua4,if (coming after a conditional clause)
实话实说,shi2 hua4 shi2 shuo1,to tell the truth/to tell it as it is
说话,shuo1 hua4,to speak/to say/to talk/to gossip/to tell stories/talk/word
心里话,xin1 li5 hua4,(to express one's) true feelings/what is on one's mind/secret mind
实话,shi2 hua4,truth
合理,he2 li3,rational; reasonable; sensible; fair
合情合理,he2 qing2 he2 li3,reasonable and fair (idiom)
合同,he2 tong5,(business) contract/CL:個|个[ge4]
重合,chong2 he2,to match up/to coincide
合并,he2 bing4,variant of 合併|合并[he2 bing4]
合作,he2 zuo4,to cooperate/to collaborate/to work together/cooperation/CL:個|个[ge4]
合成,he2 cheng2,to compose/to constitute/compound/synthesis/mixture/synthetic
合法,he2 fa3,lawful/legitimate/legal
回国,hui2 guo2,to return to one's home country
回到,hui2 dao4,to return to
一回事,yi1 hui2 shi4,one and the same (thing)/one thing (as distinct from another)
回头,hui2 tou2,to turn round; to turn one's head/later; by and by
来回,lai2 hui2,to make a round trip/return journey/back and forth/to and fro/repeatedly
回想,hui2 xiang3,to recall/to recollect/to think back
回去,hui2 qu5,to return/to go back
回来,hui2 lai5,to return/to come back
回家,hui2 jia1,to return home
回应,hui2 ying4,to respond/response
特有,te4 you3,specific (to)/characteristic (of)/distinctive
特意,te4 yi4,specially/intentionally
特点,te4 dian3,characteristic (feature)/trait/feature/CL:個|个[ge4]
特制,te4 zhi4,special/unique
特地,te4 di4,specially/for a special purpose
特长,te4 chang2,personal strength/one's special ability or strong points
特大,te4 da4,exceptionally big
特产,te4 chan3,special local product/(regional) specialty
特定,te4 ding4,special/specific/designated/particular
特性,te4 xing4,property/characteristic
年代,nian2 dai4,a decade of a century (e.g. the Sixties)/age/era/period/CL:個|个[ge4]
当代,dang1 dai4,the present age/the contemporary era
时代,Shi2 dai4,"Time, US weekly news magazine"
现代,Xian4 dai4,"Hyundai, South Korean company"
代理人,dai4 li3 ren2,agent
下一代,xia4 yi1 dai4,the next generation
一代,yi1 dai4,generation
后代,hou4 dai4,descendant/progeny/posterity/later ages/later generations
代理,dai4 li3,to act on behalf of sb in a responsible position/to act as an agent or proxy/surrogate/(computing) proxy
在内,zai4 nei4,(included) in it/among them
内地,Nei4 di4,"mainland China (PRC excluding Hong Kong and Macau, but including islands such as Hainan)/Japan (used in Taiwan during Japanese colonization)"
内心,nei4 xin1,heart; innermost being/(math.) incenter
国内,guo2 nei4,domestic/internal (to a country)/civil
内在,nei4 zai4,inner/internal/intrinsic/innate
内部,nei4 bu4,"interior/inside (part, section)/internal"
以内,yi3 nei4,within/less than
之内,zhi1 nei4,inside/within
内外,nei4 wai4,inside and outside/domestic and foreign/approximately/about
内行,nei4 hang2,expert/adept/experienced/an expert/a professional
内向,nei4 xiang4,reserved (personality)/introverted/(economics etc) domestic-oriented
可信,ke3 xin4,trustworthy
公开信,gong1 kai1 xin4,open letter
自信,zi4 xin4,to have confidence in oneself/self-confidence
来信,lai2 xin4,incoming letter/to send us a letter
信用,xin4 yong4,trustworthiness/(commerce) credit/(literary) to trust and appoint
回信,hui2 xin4,to reply/to write back/letter written in reply/CL:封[feng1]
信心,xin4 xin1,confidence/faith (in sb or sth)/CL:個|个[ge4]
相信,xiang1 xin4,to be convinced (that sth is true); to believe; to accept sth as true
自信心,zi4 xin4 xin1,self-confidence
手表,shou3 biao3,"wristwatch/CL:塊|块[kuai4],隻|只[zhi1],個|个[ge4]"
外表,wai4 biao3,external/outside/outward appearance
时间表,shi2 jian1 biao3,schedule/timetable
表面,biao3 mian4,surface/face/outside/appearance
表现,biao3 xian4,to show/to show off/to display/to manifest/expression/manifestation/show/display/performance (at work etc)/behavior
发表,fa1 biao3,to issue/to publish
表面上,biao3 mian4 shang5,outwardly; superficially; on the face of it
表明,biao3 ming2,to make clear/to make known/to state clearly/to indicate/known
表情,biao3 qing2,(facial) expression/to express one's feelings
代表,dai4 biao3,"representative/delegate/CL:位[wei4],個|个[ge4],名[ming2]/to represent/to stand for/on behalf of/in the name of"
文化,wen2 hua4,"culture/civilization/cultural/CL:個|个[ge4],種|种[zhong3]"
分化,fen1 hua4,to split apart/differentiation
美化,mei3 hua4,to make more beautiful/to decorate/embellishment
进化,jin4 hua4,evolution/CL:個|个[ge4]
化身,hua4 shen1,incarnation/reincarnation/embodiment (of abstract idea)/personification
说老实话,shuo1 lao3 shi5 hua4,to be honest/to tell the truth/to be frank
老家,lao3 jia1,native place/place of origin/home state or region
老人,lao3 ren2,old man or woman/the elderly/one's aged parents or grandparents
老大,lao3 da4,old age/very/eldest child in a family/leader of a group/boss/captain of a boat/leader of a criminal gang
老公,lao3 gong1,(coll.) husband
老实说,lao3 shi2 shuo1,"honestly speaking; to be frank, ..."
老实,lao3 shi5,honest/sincere/well-behaved/open and guileless/naive
老是,lao3 shi5,always
老人家,lao3 ren2 jia1,polite term for old woman or man
老年,lao3 nian2,elderly/old age/autumn of one's years
老化,lao3 hua4,to age (of person or object)/becoming old
去世,qu4 shi4,to pass away/to die
世代,shi4 dai4,for many generations/generation/era/age
问世,wen4 shi4,to be published/to come out
部位,bu4 wei4,"part (esp. of the body, but also of a vegetable (e.g. the root), or a garment (e.g. the sleeve) etc)"
全方位,quan2 fang1 wei4,all around/omnidirectional/complete/holistic/comprehensive
地位,di4 wei4,position/status/place/CL:個|个[ge4]
学位,xue2 wei4,academic degree/place in school
位于,wei4 yu2,to be located at/to be situated at/to lie
到位,dao4 wei4,to get to the intended location/to be in place/to be in position/precise/well (done)
位子,wei4 zi5,place/seat
定位,ding4 wei4,to orientate/to position/to categorize (as)/to characterize (as)/positioning/position/niche
人次,ren2 ci4,person-times/visits/classifier for number of people participating
下次,xia4 ci4,next time
其次,qi2 ci4,next/secondly
此次,ci3 ci4,this time
次日,ci4 ri4,next day/the morrow
多次,duo1 ci4,many times/repeatedly
一次性,yi1 ci4 xing4,one-off (offer)/one-time/single-use/disposable (goods)
上次,shang4 ci4,last time
度过,du4 guo4,to pass/to spend (time)/to survive/to get through
长度,chang2 du4,length
进度,jin4 du4,rate of progress
高度,gao1 du4,height/altitude/elevation/high degree/highly/CL:個|个[ge4]
过度,guo4 du4,excessive/over-/excess/going too far/extravagant/intemperate/overdue
制度,zhi4 du4,"system (e.g. political, adminstrative etc)/institution/CL:個|个[ge4]"
一度,yi1 du4,for a time/at one time/one time/once
力度,li4 du4,strength/vigor/efforts/(music) dynamics
年度,nian2 du4,"year (e.g. school year, fiscal year)/annual"
经度,jing1 du4,longitude
大门,Da4 men2,"the Doors, US rock band"
上门,shang4 men2,"to drop in/to visit/to lock a door/(of a shop) to close/to go and live with one's wife's family, in effect becoming a member of her family"
出门,chu1 men2,to go out/to leave home/to go on a journey/away from home/(of a woman) to get married
部门,bu4 men2,department/branch/section/division/CL:個|个[ge4]
重任,zhong4 ren4,heavy responsibility
任意,ren4 yi4,any/arbitrary/at will/at random
出任,chu1 ren4,to take up a post; to start in a new job
现任,xian4 ren4,"to occupy a post currently/current (president etc)/incumbent/(coll.) current boyfriend (girlfriend, spouse)"
上任,shang4 ren4,to take office/previous (incumbent)/predecessor
信任,xin4 ren4,to trust/to have confidence in
主任,zhu3 ren4,director/head/CL:個|个[ge4]
前任,qian2 ren4,predecessor/ex-/former/ex (spouse etc)
就任,jiu4 ren4,to take office/to assume a post
日常,ri4 chang2,day-to-day; daily; everyday
常见,chang2 jian4,commonly seen/common/to see sth frequently
时常,shi2 chang2,often/frequently
正常,zheng4 chang2,regular/normal/ordinary
常理,chang2 li3,common sense/conventional reasoning and morals
常人,chang2 ren2,ordinary person
经常,jing1 chang2,frequently; constantly; regularly; often/day-to-day; everyday; daily
常用,chang2 yong4,in common usage
常年,chang2 nian2,all year round/for years on end/average year
常常,chang2 chang2,frequently/often
事先,shi4 xian1,in advance/before the event/beforehand/prior
先前,xian1 qian2,before; previously
先生,xian1 sheng5,teacher/gentleman; sir; mister (Mr.)/husband/(dialect) doctor/CL:位[wei4]
先进,xian1 jin4,advanced (technology)/to advance
先后,xian1 hou4,early or late/priority/in succession/one after another
先天,xian1 tian1,embryonic period (contrasted with 後天|后天 [hou4 tian1])/inborn/innate/natural
海外,hai3 wai4,overseas/abroad
海面,hai3 mian4,sea level/sea surface
海军,hai3 jun1,navy
下海,xia4 hai3,"to go out to sea/to enter the sea (to swim etc)/(fig.) to take the plunge (e.g. leave a secure job, or enter prostitution etc)"
海内外,hai3 nei4 wai4,domestic and international/at home and abroad
海关,hai3 guan1,customs (i.e. border crossing inspection)/CL:個|个[ge4]
大海,da4 hai3,sea/ocean
通用,tong1 yong4,"to use anywhere, anytime (card, ticket etc)/to be used by everyone (language, textbook etc)/(of two or more things) interchangeable"
不通,bu4 tong1,to be obstructed/to be blocked up/to be impassable/to make no sense/to be illogical
通常,tong1 chang2,regular/usual/normal/usually/normally
相通,xiang1 tong1,interlinked/connected/communicating/in communication/accommodating
通过,tong1 guo4,to pass through; to get through/to adopt (a resolution); to pass (legislation)/to pass (a test)/by means of; through; via
开通,kai1 tong1,to open (a new road or railway line); to set up (a hotline); to launch (a service); to subscribe to (a members-only service)
通知,tong1 zhi1,to notify/to inform/notice/notification/CL:個|个[ge4]
通道,Tong1 dao4,"Tongdao Dong autonomous county in Huaihua 懷化|怀化[Huai2 hua4], Hunan"
通通,tong1 tong1,all/entire/complete
通信,tong1 xin4,to correspond (by letter etc)/to communicate/communication
通行,tong1 xing2,to go through/to pass through/to be in general use
通话,tong1 hua4,to hold a conversation/to talk over the telephone/phone call
家教,jia1 jiao4,family education/upbringing/to bring sb up/private tutor
道教,Dao4 jiao4,Taoism/Daoism (Chinese system of beliefs)
天主教,Tian1 zhu3 jiao4,Catholicism
教学,jiao1 xue2,to teach (as a professor)
没事儿,mei2 shi4 r5,to have spare time/free from work/it's not important/it's nothing/never mind
一点儿,yi1 dian3 r5,erhua variant of 一點|一点[yi1 dian3]
那会儿,na4 hui4 r5,at that time (in the past or the future)/also pr. [nei4 hui4 r5]
这儿,zhe4 r5,here
个儿,ge4 r5,size/height/stature
儿子,er2 zi5,son
个头儿,ge4 tou2 r5,size/height/stature
老头儿,lao3 tou2 r5,see 老頭子|老头子[lao3 tou2 zi5]
这会儿,zhe4 hui4 r5,(coll.) now/this moment/also pr. [zhe4 hui3 r5]
一会儿,yi1 hui4 r5,a moment/a while/in a moment/now...now.../also pr. [yi1 hui3 r5]
一下儿,yi1 xia4 r5,erhua variant of 一下[yi1 xia4]
那儿,na4 r5,there
原地,yuan2 di4,(in) the original place/the place where one currently is/place of origin/local (product)
原来,yuan2 lai2,"original/former/originally/formerly/at first/so, actually, as it turns out"
还原,huan2 yuan2,to restore to the original state/to reconstruct (an event)/reduction (chemistry)
原本,yuan2 ben3,originally/original
高原,gao1 yuan2,plateau/CL:片[pian4]
原因,yuan2 yin1,cause/origin/root cause/reason/CL:個|个[ge4]
原有,yuan2 you3,original/former
原先,yuan2 xian1,originally/original/former
原理,yuan2 li3,principle/theory
东方,Dong1 fang1,the East/the Orient/two-character surname Dongfang
东部,dong1 bu4,the east/eastern part
东道主,dong1 dao4 zhu3,host/official host (e.g. venue for games or a conference)
东西,dong1 xi1,east and west
大声,da4 sheng1,loud voice/in a loud voice/loudly
声明,sheng1 ming2,"to state/to declare/statement/declaration/CL:項|项[xiang4],份[fen4]"
心声,xin1 sheng1,thoughts/feelings/aspirations/heartfelt wishes/inner voice
小声,xiao3 sheng1,in a low voice/(speak) in whispers
相声,xiang4 sheng5,comic dialogue/sketch/crosstalk
提到,ti2 dao4,to mention/to raise (a subject)/to refer to
前提,qian2 ti2,premise/precondition/prerequisite
提出,ti2 chu1,to raise (an issue)/to propose/to put forward/to suggest/to post (on a website)/to withdraw (cash)
提前,ti2 qian2,to shift to an earlier date/to do sth ahead of time/in advance
提高,ti2 gao1,to raise/to increase/to improve
提问,ti2 wen4,to question; to quiz; to grill
提起,ti2 qi3,"to mention/to speak of/to lift/to pick up/to arouse/to raise (a topic, a heavy weight, one's fist, one's spirits etc)"
公立,gong1 li4,"public (e.g. school, hospital)"
成立,cheng2 li4,to establish/to set up/to be tenable/to hold water
中立,zhong1 li4,neutral/neutrality
立体,li4 ti3,three-dimensional/solid/stereoscopic
立方,li4 fang1,cube (math.)/abbr. for 立方體|立方体[li4 fang1 ti3]/abbr. for 立方米[li4 fang1 mi3]
自立,zi4 li4,independent/self-reliant/self-sustaining/to stand on one's own feet/to support oneself
对立,dui4 li4,to oppose/to set sth against/to be antagonistic to/antithetical/relative opposite/opposing/diametrical
来不及,lai2 bu5 ji2,there's not enough time (to do sth)/it's too late (to do sth)
来得及,lai2 de5 ji2,to have enough time; can do it in time; can still make it
及其,ji2 qi2,(conjunction linking two nouns) and its .../and their .../and his .../and her ...
力所能及,li4 suo3 neng2 ji2,as far as one's capabilities extend (idiom); to the best of one's ability/within one's powers
及时,ji2 shi2,timely; at the right time/promptly; without delay
以及,yi3 ji2,as well as/too/and
相比之下,xiang1 bi3 zhi1 xia4,by comparison
比不上,bi3 bu4 shang4,can't compare with
对比,dui4 bi3,to contrast/contrast/ratio/CL:個|个[ge4]
比如,bi3 ru2,for example/for instance/such as
相比,xiang1 bi3,to compare
比方,bi3 fang5,analogy/instance/for instance
无比,wu2 bi3,incomparable/matchless
比如说,bi3 ru2 shuo1,for example
比重,bi3 zhong4,proportion/specific gravity
比起,bi3 qi3,compared with
好比,hao3 bi3,to be just like; can be compared to
比分,bi3 fen1,score
学员,xue2 yuan2,student/member of an institution of learning/officer cadet
成员,cheng2 yuan2,member
动员,dong4 yuan2,to mobilize/mobilization/CL:次[ci4]
会员,hui4 yuan2,member
人员,ren2 yuan2,staff/crew/personnel/CL:個|个[ge4]
员工,yuan2 gong1,staff/personnel/employee
化解,hua4 jie3,to dissolve/to resolve (contradictions)/to dispel (doubts)/to iron out (difficulties)/to defuse (conflicts)/to neutralize (fears)
了解,liao3 jie3,to understand/to realize/to find out
解体,jie3 ti3,to break up into components/to disintegrate/to collapse/to crumble
理解,li3 jie3,to comprehend; to understand
解说,jie3 shuo1,to explain (verbally); to give a running commentary
和解,he2 jie3,to settle (a dispute out of court)/to reconcile/settlement/conciliation/to become reconciled
见解,jian4 jie3,opinion/view/understanding
不解,bu4 jie3,to not understand/to be puzzled by/indissoluble
分解,fen1 jie3,to resolve/to decompose/to break down
解开,jie3 kai1,to untie/to undo/to solve (a mystery)
地下水,di4 xia4 shui3,groundwater
水面,shui3 mian4,water surface
海水,hai3 shui3,seawater
水分,shui3 fen4,moisture content/(fig.) overstatement/padding
水手,shui3 shou3,mariner/sailor/seaman
水利,shui3 li4,water conservancy/irrigation works
开水,kai1 shui3,boiled water/boiling water
水果,shui3 guo3,fruit/CL:個|个[ge4]
自来水,zi4 lai2 shui3,running water/tap water
点名,dian3 ming2,roll call/to mention sb by name/(to call or praise or criticize sb) by name
知名,zhi1 ming2,well-known; famous
出名,chu1 ming2,"well-known for sth/to become well known/to make one's mark/to lend one's name (to an event, endeavor etc)"
名利,ming2 li4,fame and profit
有名,you3 ming2,famous/well-known
名声,ming2 sheng1,reputation
名人,ming2 ren2,personage/celebrity
提名,ti2 ming2,to nominate
地名,di4 ming2,place name/toponym
真理,zhen1 li3,truth/CL:個|个[ge4]
真正,zhen1 zheng4,genuine; real; true/really; indeed
真实,zhen1 shi2,true; real
当真,dang4 zhen1,"to take seriously/serious/No joking, really!"
说真的,shuo1 zhen1 de5,to tell the truth/honestly/in fact
天真,tian1 zhen1,naive/innocent/artless
真是的,zhen1 shi5 de5,Really! (interj. of annoyance or frustration)
真心,zhen1 xin1,sincere/heartfelt/CL:片[pian4]
真相,zhen1 xiang4,the truth about sth; the actual facts
真情,zhen1 qing2,real situation/the truth
果真,guo3 zhen1,really/as expected/sure enough/if indeed.../if it's really...
无论,wu2 lun4,no matter what or how/regardless of whether...
定论,ding4 lun4,final conclusion/accepted argument
论文,lun4 wen2,paper/treatise/thesis/CL:篇[pian1]/to discuss a paper or thesis (old)
相提并论,xiang1 ti2 bing4 lun4,to discuss two disparate things together (idiom); to mention on equal terms/to place on a par with/(often with negatives: impossible to mention X in the same breath as Y)
理论,li3 lun4,theory/CL:個|个[ge4]/to argue/to take notice of
不论,bu4 lun4,"whatever/no matter what (who, how etc)/regardless of/not to discuss"
处长,chu4 zhang3,department head/section chief
处在,chu3 zai4,to be situated at/to find oneself at
处理,chu3 li3,to handle; to deal with/to punish/to treat sth by a special process; to process/to sell at reduced prices
处于,chu3 yu2,"to be in (some state, position, or condition)"
用处,yong4 chu5,usefulness/CL:個|个[ge4]
好处,hao3 chu3,easy to get along with
去处,qu4 chu4,place/destination
到处,dao4 chu4,everywhere
相处,xiang1 chu3,"to be in contact (with sb)/to associate/to interact/to get along (well, poorly)"
此处,ci3 chu4,this place/here (literary)
长处,chang2 chu4,good aspects/strong points
处处,chu4 chu4,everywhere/in all respects
处方,chu3 fang1,medical prescription/to write out a prescription/(fig.) recommendation/advice
处分,chu3 fen4,to discipline sb/to punish/disciplinary action/to deal with (a matter)/CL:個|个[ge4]
走进,zou3 jin4,to enter
走过,zou3 guo4,to walk past/to pass by
走开,zou3 kai1,to leave/to walk away/to beat it/to move aside
行走,xing2 zou3,to walk
走后门,zou3 hou4 men2,lit. to enter by the back door/fig. to gain influence by pull or unofficial channels/back door or under the counter connections
出走,chu1 zou3,to leave home/to go off/to run away
无情无义,wu2 qing2 wu2 yi4,completely lacking any feeling or sense of justice (idiom); cold and ruthless
定义,ding4 yi4,definition/to define
主义,zhu3 yi4,-ism/ideology
意义,yi4 yi4,sense/meaning/significance/importance/CL:個|个[ge4]
天经地义,tian1 jing1 di4 yi4,lit. heaven's law and earth's principle (idiom); fig. right and proper/right and unalterable/a matter of course
名义,ming2 yi4,name/titular/nominal/in name/ostensible purpose
义工,yi4 gong1,volunteer worker/volunteer work
正义,zheng4 yi4,justice/righteousness/just/righteous
各位,ge4 wei4,"everybody/all (guests, colleagues etc)/all of you"
各个,ge4 ge4,"every/various/separately, one by one"
各自,ge4 zi4,each/respective/apiece
各地,ge4 di4,in all parts of (a country)/various regions
各种,ge4 zhong3,every kind of; all kinds of; various
入门,ru4 men2,entrance door/to enter a door/introduction (to a subject)/to learn the basics of a subject
加入,jia1 ru4,to become a member/to join/to mix into/to participate in/to add in
入学,ru4 xue2,to enter a school or college/to go to school for the first time as a child
入手,ru4 shou3,"to begin (with ...) (typically used in a structure such as 從|从[cong2] + {noun} + 入手[ru4 shou3]: ""to begin with {noun}; to take {noun} as one's starting point"")/to receive; to obtain; to buy"
进入,jin4 ru4,to enter/to join/to go into
出入,chu1 ru4,to go out and come in/entrance and exit/expenditure and income/discrepancy/inconsistent
口头,kou3 tou2,oral/verbal
门口,men2 kou3,doorway/gate/CL:個|个[ge4]
出口,chu1 kou3,an exit/CL:個|个[ge4]/to speak/to export/(of a ship) to leave port
口水,kou3 shui3,saliva
口子,kou3 zi5,hole/opening/cut/gap/gash/my husband or wife/classifier for people (used for indicating the number of people in a family etc)/precedent
可口,ke3 kou3,tasty; to taste good
入口,ru4 kou3,entrance/to import
两口子,liang3 kou3 zi5,husband and wife
进出口,jin4 chu1 kou3,import and export
开口,kai1 kou3,to open one's mouth/to start to talk
有口无心,you3 kou3 wu2 xin1,to speak harshly but without any bad intent (idiom)
人口,ren2 kou3,population/people
进口,jin4 kou3,"to import/imported/entrance/inlet (for the intake of air, water etc)"
认为,ren4 wei2,to believe; to think; to consider; to feel
认出,ren4 chu1,recognition/to recognize
认真,ren4 zhen1,conscientious/earnest/serious/to take seriously/to take to heart
认知,ren4 zhi1,cognition/cognitive/understanding/perception/awareness/to be cognizant of/to recognize/to realize
公认,gong1 ren4,publicly known (to be)/accepted (as)
认定,ren4 ding4,to maintain (that sth is true)/to determine (a fact)/determination (of an amount)/of the firm opinion/to believe firmly/to set one's mind on/to identify with
认同,ren4 tong2,to approve of/to endorse/to acknowledge/to recognize/to identify oneself with
认得,ren4 de5,to recognize/to remember sth (or sb) on seeing it/to know
认可,ren4 ke3,to approve/approval/acknowledgment/OK
教条,jiao4 tiao2,doctrine/dogma/creed/dogmatic
面条儿,mian4 tiao2 r5,erhua variant of 麵條|面条[mian4 tiao2]
头条,Tou2 tiao2,"Toutiao, personalized content recommendation app (abbr. for 今日頭條|今日头条[Jin1 ri4 Tou2 tiao2])"
水平,shui3 ping2,level (of achievement etc)/standard/horizontal
平常,ping2 chang2,ordinary/common/usually/ordinarily
平等,ping2 deng3,equal/equality
平方,ping2 fang1,"square (as in square foot, square mile, square root)"
平面,ping2 mian4,plane (flat surface)/print media
平原,ping2 yuan2,field/plain/CL:個|个[ge4]
平和,Ping2 he2,"Pinghe county in Zhangzhou 漳州[Zhang1 zhou1], Fujian"
平民,ping2 min2,ordinary people/commoner/civilian
平常心,ping2 chang2 xin1,levelheadedness/calmness/equanimity
平日,ping2 ri4,ordinary day/everyday/ordinarily/usually
不平,bu4 ping2,uneven/injustice/unfairness/wrong/grievance/indignant/dissatisfied
和平,He2 ping2,"Heping District of Shenyang city 瀋陽市|沈阳市[Shen3 yang2 shi4], Liaoning/Heping or Hoping Township in Taichung County 臺中縣|台中县[Tai2 zhong1 Xian4], Taiwan"
天平,tian1 ping2,scales (to weigh things)
公平,gong1 ping2,fair/impartial
生平,sheng1 ping2,life (a person's whole life)/in one's entire life
平时,ping2 shi2,ordinarily/in normal times/in peacetime
没关系,mei2 guan1 xi5,it doesn't matter
关系,guan1 xi5,relation/relationship/to concern/to affect/to have to do with/guanxi/CL:個|个[ge4]
体系,ti3 xi4,system/setup/CL:個|个[ge4]
一口气,yi1 kou3 qi4,one breath/in one breath/at a stretch
名气,ming2 qi4,reputation; fame
天气,tian1 qi4,weather
大气,da4 qi4,atmosphere (surrounding the earth)/imposing; impressive; stylish
力气,li4 qi5,strength/CL:把[ba3]
生气,sheng1 qi4,to get angry/to take offense/angry/vitality/liveliness
气体,qi4 ti3,gas (i.e. gaseous substance)
小气,xiao3 qi4,stingy/miserly/narrow-minded/petty
天然气,tian1 ran2 qi4,natural gas
人气,ren2 qi4,popularity/personality/character
口气,kou3 qi4,tone of voice/the way one speaks/manner of expression/tone
和气,he2 qi5,friendly/polite/amiable
问题,wen4 ti2,question/problem/issue/topic/CL:個|个[ge4]
话题,hua4 ti2,subject (of a talk or conversation)/topic
主题,zhu3 ti2,theme/subject
成问题,cheng2 wen4 ti2,to be a problem/problematic/questionable
活力,huo2 li4,energy/vitality/vigor/vital force
活动,huo2 dong4,"to exercise/to move about/to operate/to use connections (personal influence)/loose/shaky/active/movable/activity/campaign/maneuver/behavior/CL:項|项[xiang4],個|个[ge4]"
生活,sheng1 huo2,to live/life/livelihood
活儿,huo2 r5,work/(lots of) things to do
更加,geng4 jia1,more (than sth else)/even more
更新,geng1 xin1,to replace the old with new/to renew/to renovate/to upgrade/to update/to regenerate
自力更生,zi4 li4 geng1 sheng1,regeneration through one's own effort (idiom)/self-reliance
更是,geng4 shi4,even more (so)
个别,ge4 bie2,individually; one by one/just one or two; exceptional; rare
性别,xing4 bie2,gender/sex
别说,bie2 shuo1,to say nothing of; not to mention; let alone
别看,bie2 kan4,don't be fooled by the fact that
别人,bie2 ren5,other people; others; other person
分别,fen1 bie2,to part; to leave each other/to distinguish; to tell apart/difference; distinction/in different ways; differently/separately; individually
别提了,bie2 ti2 le5,say no more/don't bring it up/drop the subject
特别,te4 bie2,unusual; special/very; especially; particularly/expressly; for a specific purpose/(often followed by 是[shi4]) in particular
别的,bie2 de5,else/other
打通,da3 tong1,to open access/to establish contact/to remove a block/to put through (a phone connection)
打工,da3 gong1,"to work a temporary or casual job/(of students) to have a job outside of class time, or during vacation"
打开,da3 kai1,to open/to show (a ticket)/to turn on/to switch on
打动,da3 dong4,to move (to pity)/arousing (sympathy)/touching
打发,da3 fa5,to dispatch sb to do sth/to make sb leave/to pass (the time)/(old) to make arrangements/(old) to bestow (alms etc)
女子,nu:3 zi3,woman/female
女生,nu:3 sheng1,schoolgirl/female student/girl
女儿,nu:3 er2,daughter
美女,mei3 nu:3,beautiful woman
女人,nu:3 ren2,woman
子女,zi3 nu:3,children/sons and daughters
儿女,er2 nu:3,children; sons and daughters/a young man and a young woman (in love)
女性,nu:3 xing4,woman/the female sex
变化,bian4 hua4,(intransitive) to change; to vary/change; variation/CL:個|个[ge4]
变动,bian4 dong4,to change/to fluctuate/change/fluctuation
一成不变,yi1 cheng2 bu4 bian4,(idiom) immutable; impervious to change; set in stone
变为,bian4 wei2,to change into
变更,bian4 geng1,to change/to alter/to modify
变成,bian4 cheng2,to change into/to turn into/to become
四处,si4 chu4,all over the place/everywhere and all directions
神气,shen2 qi4,expression/manner/vigorous/impressive/lofty/pretentious
神经,shen2 jing1,nerve/mental state/(coll.) unhinged/nutjob
神情,shen2 qing2,look; expression
神话,shen2 hua4,legend/fairy tale/myth/mythology
总之,zong3 zhi1,in a word/in short/in brief
总是,zong3 shi4,always
总经理,zong3 jing1 li3,general manager/CEO
总的来说,zong3 de5 lai2 shuo1,generally speaking/to sum up/in summary/in short
总部,zong3 bu4,general headquarters
总体,zong3 ti3,completely/totally/total/entire/overall/population (statistics)
总理,zong3 li3,"premier/prime minister/CL:個|个[ge4],位[wei4],名[ming2]"
任何,ren4 he2,any/whatever/whichever/whatsoever
无论如何,wu2 lun4 ru2 he2,whatever the case/in any event/no matter what/by all possible means
何处,he2 chu4,whence/where
为何,wei4 he2,why
如何,ru2 he2,how/what way/what
何时,he2 shi2,when
电力,dian4 li4,electrical power/electricity
电信,dian4 xin4,telecommunications
发电机,fa1 dian4 ji1,electricity generator/dynamo
打电话,da3 dian4 hua4,to make a telephone call
电动,dian4 dong4,electric-powered/(Tw) video game
电话,dian4 hua4,telephone/CL:部[bu4]/phone call/CL:通[tong1]/phone number
来电,lai2 dian4,"incoming telephone call (or telegram)/to phone in; to send in a telegram/to have an instant attraction to sb/(of electricity, after an outage) to come back"
发电,fa1 dian4,to generate electricity/to send a telegram
家电,jia1 dian4,household electric appliance/abbr. for 家用電器|家用电器
分数,fen1 shu4,(exam) grade/mark/score/fraction
次数,ci4 shu4,number of times/frequency/order number (in a series)/power (math.)/degree of a polynomial (math.)
大多数,da4 duo1 shu4,(great) majority
无数,wu2 shu4,countless/numberless/innumerable
人数,ren2 shu4,number of people
多数,duo1 shu4,majority; most
总数,zong3 shu4,total/sum/aggregate
安心,an1 xin1,at ease/to feel relieved/to set one's mind at rest/to keep one's mind on sth
不安,bu4 an1,unpeaceful/unstable/uneasy/disturbed/restless/worried
安定,An1 ding4,"Anting township in Tainan county 台南縣|台南县[Tai2 nan2 xian4], Taiwan"
平安,ping2 an1,safe and sound/well/without mishap/quiet and safe/at peace
安全,an1 quan2,safe; secure/safety; security
心安理得,xin1 an1 li3 de2,to have a clear conscience/to have no qualms about sth
公安,gong1 an1,(Ministry of) Public Security/public safety/public security
少数,shao3 shu4,small number/few/minority
